wifiid,gpslatitude,gpslongitude,gpsposaccuracy,rssi,MAC
336523183,55.7117,13.1922,9,-89,
1149909097,55.7061,13.1931,10,-75,f0:5c:19:bd:40:f1
1182309564,55.7062,13.1935,4,-74,f0:5c:19:9b:0c:60
1376444844,55.7055,13.1935,4,-76,b4:5d:50:0b:8f:30
1376444845,55.7055,13.1935,4,-77,b4:5d:50:0b:8f:31
336523183,55.7121,13.1937,8,-89,e0:91:53:78:49:20
1149909093,55.7061,13.1938,6,-74,f0:5c:19:bd:40:f0
1149909097,55.7061,13.1938,6,-75,f0:5c:19:bd:40:f1
1376444844,55.7057,13.1938,4,-73,b4:5d:50:0b:8f:30
1376444845,55.7057,13.1938,4,-72,b4:5d:50:0b:8f:31
327060843,55.7088,13.1942,5,-93,e0:91:53:78:49:62
336523178,55.7088,13.1942,5,-92,e0:91:53:78:47:f0
336523183,55.7088,13.1942,5,-90,e0:91:53:78:49:20
336523191,55.7088,13.1942,5,-91,e0:91:53:78:45:ba
339445317,55.7088,13.1942,5,-89,e0:91:53:78:46:a4
339445348,55.7088,13.1942,5,-92,e0:91:53:78:44:7d
339445358,55.7088,13.1942,5,-89,e0:91:53:79:75:f3
357776104,55.7088,13.1942,5,-86,e0:91:53:78:49:58
637404821,55.7088,13.1942,5,-91,ac:a3:1e:d3:e1:00
637404825,55.7088,13.1942,5,-92,ac:a3:1e:d3:e1:01
637404898,55.7088,13.1942,5,-94,ac:a3:1e:d3:e5:80
637404900,55.7088,13.1942,5,-95,ac:a3:1e:d3:e5:81
896218418,55.7088,13.1942,5,-90,
943771789,55.7088,13.1942,5,-94,40:e3:d6:a8:3b:e1
1182309564,55.707,13.1943,3,-83,f0:5c:19:9b:0c:60
1154751325,55.7061,13.1944,7,-84,f0:5c:19:bd:40:e1
1376444844,55.7052,13.1945,4,-90,b4:5d:50:0b:8f:30
1376444845,55.7052,13.1945,4,-89,b4:5d:50:0b:8f:31
336523183,55.7122,13.1948,9,-89,e0:91:53:78:49:20
1376444844,55.705,13.1948,3,-89,b4:5d:50:0b:8f:30
1376444845,55.705,13.1948,3,-89,b4:5d:50:0b:8f:31
1154751325,55.7049,13.1949,8,-84,f0:5c:19:bd:40:e1
1376444844,55.7052,13.195,3,-89,b4:5d:50:0b:8f:30
1376444844,55.7052,13.195,3,-89,b4:5d:50:0b:8f:30
1376444845,55.7052,13.195,3,-89,b4:5d:50:0b:8f:31
1376444845,55.7052,13.195,3,-89,b4:5d:50:0b:8f:31
1154751325,55.7054,13.1952,8,-83,f0:5c:19:bd:40:e1
1376444844,55.7055,13.1952,4,-87,b4:5d:50:0b:8f:30
1376444845,55.7055,13.1952,4,-87,b4:5d:50:0b:8f:31
1376444844,55.7055,13.1953,8,-91,b4:5d:50:0b:8f:30
1376444845,55.7055,13.1953,8,-89,b4:5d:50:0b:8f:31
1154751325,55.7055,13.1953,4,-79,f0:5c:19:bd:40:e1
1154751325,55.7058,13.1954,3,-88,f0:5c:19:bd:40:e1
1376444844,55.7058,13.1954,8,-91,b4:5d:50:0b:8f:30
1376444844,55.7058,13.1954,8,-91,b4:5d:50:0b:8f:30
1376444845,55.7058,13.1954,8,-89,b4:5d:50:0b:8f:31
1376444845,55.7058,13.1954,8,-89,b4:5d:50:0b:8f:31
1376444844,55.7058,13.1954,4,-81,b4:5d:50:0b:8f:30
1376444844,55.7058,13.1954,4,-81,b4:5d:50:0b:8f:30
1376444845,55.7058,13.1954,4,-82,b4:5d:50:0b:8f:31
